"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 10:08:16 UTC 2024","Tue Jun 11 10:08:19 UTC 2024","2812","Google Chrome","saucedemo.spec.ts","","","","Verify the purchase path",""
"passed","Tue Jun 11 10:08:02 UTC 2024","Tue Jun 11 10:08:02 UTC 2024","328","Microsoft Edge","saucedemo.spec.ts","","","","Locked User Login",""
"passed","Tue Jun 11 10:07:57 UTC 2024","Tue Jun 11 10:07:58 UTC 2024","391","Microsoft Edge","apiRequests.spec.ts","","","","put request reqres",""
"passed","Tue Jun 11 10:08:19 UTC 2024","Tue Jun 11 10:08:19 UTC 2024","302","Google Chrome","saucedemo.spec.ts","","","","Locked User Login",""
"passed","Tue Jun 11 10:07:44 UTC 2024","Tue Jun 11 10:07:57 UTC 2024","12774","Microsoft Edge","apiRequests.spec.ts","","","","get request reqres",""
"passed","Tue Jun 11 10:08:03 UTC 2024","Tue Jun 11 10:08:15 UTC 2024","11968","Google Chrome","apiRequests.spec.ts","","","","get request reqres",""
"passed","Tue Jun 11 10:08:16 UTC 2024","Tue Jun 11 10:08:16 UTC 2024","367","Google Chrome","apiRequests.spec.ts","","","","delete request reqres",""
"passed","Tue Jun 11 10:07:57 UTC 2024","Tue Jun 11 10:07:57 UTC 2024","451","Microsoft Edge","apiRequests.spec.ts","","","","post request reqres",""
"passed","Tue Jun 11 10:08:15 UTC 2024","Tue Jun 11 10:08:15 UTC 2024","450","Google Chrome","apiRequests.spec.ts","","","","post request reqres",""
"passed","Tue Jun 11 10:07:58 UTC 2024","Tue Jun 11 10:07:58 UTC 2024","396","Microsoft Edge","apiRequests.spec.ts","","","","delete request reqres",""
"passed","Tue Jun 11 10:07:58 UTC 2024","Tue Jun 11 10:08:02 UTC 2024","3614","Microsoft Edge","saucedemo.spec.ts","","","","Verify the purchase path",""
"passed","Tue Jun 11 10:08:15 UTC 2024","Tue Jun 11 10:08:16 UTC 2024","386","Google Chrome","apiRequests.spec.ts","","","","put request reqres",""
